size,bytes,usage,minrelaytxfee
5318,1198782,6144016,0.000010000
5366,1209605,6200080,0.000010000
5415,1220651,6257312,0.000010000
5463,1231471,6313376,0.000010000
5512,1242526,6370608,0.000010000
5562,1253799,6429008,0.000010000
5610,1264625,6485072,0.000010000
5116,1153247,5929584,0.000010000
5164,1164070,5979504,0.000010000
5216,1176474,6036704,0.000010000
4760,1072971,5517104,0.000010000
4811,1084469,5570144,0.000010000
4858,1095292,5620064,0.000010000
4908,1106343,5671024,0.000010000
4956,1117162,5720944,0.000010000
5003,1127761,5775840,0.000010000
5052,1138806,5833072,0.000010000
5098,1149179,5886800,0.000010000
5145,1159781,5941696,0.000010000
5193,1170605,5997760,0.000010000
5241,1181430,6053824,0.000010000
5289,1192248,6109888,0.000010000
5337,1203081,6165952,0.000010000
5386,1214137,6223184,0.000010000
5433,1224734,6278080,0.000010000
4936,1112658,5718960,0.000010000
4984,1123482,5768880,0.000010000
5033,1134753,5820880,0.000010000
5083,1146030,5872880,0.000010000
5133,1157080,5927552,0.000010000
5180,1167677,5982448,0.000010000
5229,1178720,6039680,0.000010000
4788,1079289,5541360,0.000010000
4837,1090334,5592320,0.000010000
4885,1101152,5642240,0.000010000
4934,1112204,5694992,0.000010000
4982,1123029,5751056,0.000010000
5030,1133852,5807120,0.000010000
5079,1144899,5864352,0.000010000
5128,1155946,5921584,0.000010000
5178,1167221,5979984,0.000010000
5228,1178493,6038384,0.000010000
5277,1189542,6095616,0.000010000
5325,1200365,6151680,0.000010000
5374,1211410,6208912,0.000010000
4951,1116036,5759008,0.000010000
4999,1126857,5808928,0.000010000
5047,1137675,5858848,0.000010000
5097,1148954,5911888,0.000010000
5148,1160452,5963888,0.000010000
5199,1171947,6016928,0.000010000
4762,1073404,5562320,0.000010000
4812,1084671,5614320,0.000010000
4862,1095939,5666320,0.000010000
4911,1106985,5717280,0.000010000
4961,1118260,5769280,0.000010000
5010,1129304,5820240,0.000010000
5059,1140350,5872240,0.000010000
5111,1152072,5925280,0.000010000
5160,1163121,5976240,0.000010000
5211,1174625,6029280,0.000010000
5262,1186122,6082320,0.000010000
5312,1197399,6136240,0.000010000
4869,1097735,5665040,0.000010000
4919,1108792,5716000,0.000010000
4969,1120067,5768000,0.000010000
5018,1131115,5818960,0.000010000
5067,1142158,5869920,0.000010000
5115,1152982,5919840,0.000010000
5165,1164253,5971840,0.000010000
5214,1175301,6022800,0.000010000
5264,1186574,6080048,0.000010000
4798,1081481,5574800,0.000010000
4847,1092531,5625760,0.000010000
4897,1103804,5677760,0.000010000
4945,1114633,5727680,0.000010000
4994,1125683,5778640,0.000010000
5044,1136958,5830640,0.000010000
5094,1148227,5882640,0.000010000
5142,1159057,5937424,0.000010000
5189,1169652,5992320,0.000010000
5237,1180468,6048384,0.000010000
5286,1191518,6105616,0.000010000
5334,1202342,6161680,0.000010000
5383,1213389,6218912,0.000010000
4958,1117558,5734800,0.000010000
5008,1128834,5786800,0.000010000
5057,1139887,5838016,0.000010000
5105,1150711,5894080,0.000010000
5153,1161541,5950144,0.000010000
5201,1172360,6006208,0.000010000
5248,1182959,6061104,0.000010000
4797,1081261,5547392,0.000010000
4844,1091863,5596272,0.000010000
4891,1102459,5645152,0.000010000
4937,1112831,5697728,0.000010000
4983,1123199,5751456,0.000010000
5031,1134024,5807520,0.000010000
5079,1144843,5863584,0.000010000
5126,1155439,5918480,0.000010000
5174,1166262,5974544,0.000010000
5222,1177090,6030608,0.000010000
5270,1187913,6086672,0.000010000
5319,1198965,6143904,0.000010000
5368,1210011,6201136,0.000010000
4938,1113083,5706736,0.000010000
4987,1124100,5757664,0.000010000
5035,1134919,5812064,0.000010000
5083,1145746,5868128,0.000010000
5131,1156572,5924192,0.000010000
5179,1167393,5980256,0.000010000
5227,1178219,6036320,0.000010000
5276,1189488,6094720,0.000010000
4845,1092301,5606800,0.000010000
4894,1103122,5656720,0.000010000
4945,1114621,5709760,0.000010000
4995,1125894,5765216,0.000010000
5041,1136268,5818944,0.000010000
5087,1146644,5872672,0.000010000
5133,1157019,5926400,0.000010000
5181,1167848,5982464,0.000010000
5229,1178672,6038528,0.000010000
4797,1081256,5556992,0.000010000
4846,1092303,5607952,0.000010000
4896,1103581,5659952,0.000010000
4944,1114411,5709872,0.000010000
4995,1125909,5765088,0.000010000
5042,1136503,5819984,0.000010000
5090,1147325,5876048,0.000010000
5137,1157919,5930944,0.000010000
5184,1168516,5985840,0.000010000
5231,1179339,6041904,0.000010000
5281,1190386,6099136,0.000010000
4854,1094088,5624720,0.000010000
4903,1105141,5675680,0.000010000
4953,1116414,5727680,0.000010000
5003,1127687,5779680,0.000010000
5052,1138733,5831536,0.000010000
5099,1149327,5886432,0.000010000
5146,1159921,5941328,0.000010000
5193,1170516,5996224,0.000010000
5241,1181343,6052288,0.000010000
5289,1192175,6108352,0.000010000
4868,1097258,5633008,0.000010000
4919,1108757,5686048,0.000010000
4967,1119576,5735968,0.000010000
5015,1130395,5788192,0.000010000
5062,1141223,5845424,0.000010000
5111,1152046,5900320,0.000010000
5158,1162638,5955216,0.000010000
5207,1173914,6013616,0.000010000
4776,1076551,5543760,0.000010000
4794,1080575,5562448,0.000010000
4843,1091624,5613408,0.000010000
4891,1102454,5663328,0.000010000
4940,1113502,5714288,0.000010000
4990,1124775,5766288,0.000010000
5040,1136052,5818288,0.000010000
5088,1146882,5873328,0.000010000
5136,1157710,5929392,0.000010000
5183,1168309,5984288,0.000010000
5229,1178679,6038016,0.000010000
4778,1077008,5568848,0.000010000
4828,1088278,5620848,0.000010000
4876,1099101,5670768,0.000010000
4924,1109918,5720688,0.000010000
4972,1120743,5770608,0.000010000
5020,1131564,5820528,0.000010000
5068,1142385,5870448,0.000010000
5116,1153206,5920368,0.000010000
5166,1164482,5972368,0.000010000
5215,1175529,6023328,0.000010000
4757,1072256,5541888,0.000010000
4806,1083307,5592848,0.000010000
4855,1094345,5643808,0.000010000
4905,1105621,5695808,0.000010000
4954,1116672,5746768,0.000010000
5005,1128172,5800848,0.000010000
5056,1139671,5852848,0.000010000
5105,1150948,5904848,0.000010000
5154,1161774,5954768,0.000010000
5204,1173048,6008560,0.000010000
5251,1183648,6063456,0.000010000
5299,1194474,6119520,0.000010000
4854,1094133,5646480,0.000010000
4902,1104962,5696400,0.000010000
4950,1115788,5746320,0.000010000
4999,1126832,5797280,0.000010000
5047,1137666,5847200,0.000010000
5095,1148488,5897120,0.000010000
5145,1159758,5949120,0.000010000
5195,1171261,6003200,0.000010000
5246,1182537,6057488,0.000010000
5294,1193363,6113552,0.000010000
5341,1203964,6168448,0.000010000
4900,1104522,5667184,0.000010000
4948,1115347,5717104,0.000010000
4996,1126172,5767024,0.000010000
5044,1136999,5821424,0.000010000
5092,1147829,5877488,0.000010000
5140,1158656,5933552,0.000010000
5187,1169256,5988448,0.000010000
5236,1180307,6046848,0.000010000
5286,1191585,6104080,0.000010000
5334,1202408,6160144,0.000010000
5381,1213007,6215040,0.000010000
5428,1223604,6269936,0.000010000
5022,1132067,5809040,0.000010000
5070,1142893,5858960,0.000010000
5120,1154167,5910960,0.000010000
5169,1165216,5967296,0.000010000
5216,1175812,6022192,0.000010000
4763,1073660,5506272,0.000010000
4812,1084712,5557232,0.000010000
4860,1095540,5607152,0.000010000
4908,1106356,5662320,0.000010000
4955,1116954,5717216,0.000010000
5004,1128011,5774448,0.000010000
5052,1138832,5830512,0.000010000
5099,1149435,5885408,0.000010000
5146,1160034,5940304,0.000010000
4712,1062173,5455152,0.000010000
4761,1073220,5506112,0.000010000
4809,1084044,5556032,0.000010000
4858,1095098,5606992,0.000010000
4905,1105694,5658688,0.000010000
4951,1116065,5712416,0.000010000
4997,1126435,5766144,0.000010000
5044,1137030,5821040,0.000010000
5091,1147622,5875936,0.000010000
5138,1158216,5930832,0.000010000
5185,1168813,5985728,0.000010000
5232,1179635,6042960,0.000010000
4812,1084703,5578224,0.000010000
4860,1095535,5628144,0.000010000
4907,1106135,5677024,0.000010000
4955,1117185,5727984,0.000010000
5005,1128238,5778944,0.000010000
5052,1138831,5830256,0.000010000
5099,1149427,5885152,0.000010000
5146,1160023,5940048,0.000010000
5193,1170620,5994944,0.000010000
5241,1181440,6051008,0.000010000
5289,1192267,6107072,0.000010000
4873,1098478,5648832,0.000010000
4922,1109529,5699792,0.000010000
4970,1120354,5749712,0.000010000
5018,1131171,5799632,0.000010000
5066,1141994,5849552,0.000010000
5114,1152815,5902544,0.000010000
5162,1163638,5958608,0.000010000
5210,1174463,6014672,0.000010000
4785,1078640,5536192,0.000010000
4835,1089918,5588192,0.000010000
4884,1100968,5639152,0.000010000
4933,1112015,5691008,0.000010000
4980,1122612,5745904,0.000010000
5026,1132988,5799632,0.000010000
5072,1143365,5853360,0.000010000
5118,1153738,5907088,0.000010000
5166,1164558,5963152,0.000010000
5215,1175605,6020384,0.000010000
5264,1186661,6077616,0.000010000
5310,1197032,6131344,0.000010000
5357,1207631,6186240,0.000010000
4935,1112452,5723936,0.000010000
4983,1123274,5773856,0.000010000
5032,1134326,5824816,0.000010000
5082,1145601,5876816,0.000010000
4636,1045049,5404912,0.000010000
4685,1056099,5455872,0.000010000
4732,1066699,5504752,0.000010000
4781,1077746,5555712,0.000010000
4829,1088564,5605632,0.000010000
4878,1099609,5656592,0.000010000
4927,1110657,5707552,0.000010000
4976,1121704,5758512,0.000010000
5025,1132756,5809472,0.000010000
5075,1144030,5861472,0.000010000
5122,1154630,5911504,0.000010000
5169,1165230,5966400,0.000010000
5215,1175604,6020128,0.000010000
5263,1186431,6076192,0.000010000
4805,1083168,5598336,0.000010000
4853,1093990,5648256,0.000010000
4900,1104587,5697136,0.000010000
4948,1115409,5747056,0.000010000
4995,1126005,5795936,0.000010000
5043,1136825,5845856,0.000010000
5092,1147877,5896816,0.000010000
5141,1158920,5947776,0.000010000
5189,1169740,5997696,0.000010000
5239,1181014,6049696,0.000010000
5288,1192068,6105264,0.000010000
4846,1092382,5634448,0.000010000
4895,1103435,5685408,0.000010000
4943,1114256,5735328,0.000010000
4991,1125081,5785248,0.000010000
5041,1136585,5839328,0.000010000
5092,1147859,5890288,0.000010000
5140,1158677,5940208,0.000010000
5188,1169501,5990128,0.000010000
4733,1066885,5483648,0.000010000
4782,1077938,5534608,0.000010000
4832,1089217,5586608,0.000010000
4881,1100270,5637568,0.000010000
4928,1110868,5686448,0.000010000
4974,1121243,5738256,0.000010000
5020,1131613,5791984,0.000010000
5067,1142212,5846880,0.000010000
5116,1153262,5905280,0.000010000
5165,1164306,5961344,0.000010000
5214,1175360,6018576,0.000010000
5261,1185961,6073472,0.000010000
5308,1196558,6128368,0.000010000
4893,1102962,5652480,0.000010000
4943,1114235,5704480,0.000010000
4991,1125055,5757984,0.000010000
5036,1135201,5810544,0.000010000
5083,1145797,5865440,0.000010000
5130,1156392,5920336,0.000010000
5177,1166991,5975232,0.000010000
5226,1178043,6032464,0.000010000
4788,1079273,5532272,0.000010000
4837,1090319,5583232,0.000010000
4884,1100917,5632880,0.000010000
4930,1111286,5686608,0.000010000
4976,1121664,5741504,0.000010000
5023,1132269,5795232,0.000010000
5071,1143097,5851296,0.000010000
5120,1154140,5908528,0.000010000
5167,1164740,5963424,0.000010000
5214,1175336,6018320,0.000010000
4787,1079062,5534048,0.000010000
