size,bytes,usage,minrelaytxfee
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
126,24202,132208,0.000010000
164,31478,175632,0.000010000
261,50049,283648,0.000010000
296,56756,318928,0.000010000
477,91405,501376,0.000010000
511,97920,535648,0.000010000
560,107309,605520,0.000010000
642,123010,688176,0.000010000
762,145989,809136,0.000010000
807,154596,854496,0.000010000
842,161295,889776,0.000010000
899,172214,947232,0.000010000
939,179876,987552,0.000010000
1039,199021,1129312,0.000010000
1066,204197,1156528,0.000010000
1138,218002,1229104,0.000010000
1222,234076,1313776,0.000010000
1223,234268,1314784,0.000010000
1275,244230,1367200,0.000010000
1293,247675,1385344,0.000010000
1398,267781,1491184,0.000010000
1498,286916,1591984,0.000010000
1553,297453,1647424,0.000010000
1620,310289,1714960,0.000010000
1700,325614,1795600,0.000010000
1787,342270,1883296,0.000010000
1839,352227,1935712,0.000010000
1913,366391,2010304,0.000010000
1942,371946,2039536,0.000010000
1993,381714,2090944,0.000010000
2066,395692,2246448,0.000010000
2096,401438,2276688,0.000010000
2107,403541,2287776,0.000010000
2111,404307,2291808,0.000010000
2129,407752,2309952,0.000010000
2136,409090,2317008,0.000010000
2145,410813,2326080,0.000010000
2151,411963,2332128,0.000010000
2194,420197,2375472,0.000010000
2198,420962,2379504,0.000010000
2226,426325,2407728,0.000010000
2233,427663,2414784,0.000010000
2243,429576,2424864,0.000010000
2249,430727,2430912,0.000010000
2260,432835,2442000,0.000010000
2268,434365,2450064,0.000010000
2270,434749,2452080,0.000010000
2278,436283,2460144,0.000010000
2285,437693,2467520,0.000010000
2287,438144,2469856,0.000010000
2291,439046,2474528,0.000010000
2291,439046,2474528,0.000010000
2291,439046,2474528,0.000010000
2294,439689,2477872,0.000010000
2296,440140,2480208,0.000010000
2297,440365,2481376,0.000010000
2298,440590,2482544,0.000010000
2300,441041,2484880,0.000010000
2303,441718,2488384,0.000010000
2303,441718,2488384,0.000010000
2304,441944,2489552,0.000010000
2305,442169,2490720,0.000010000
2312,443747,2498896,0.000010000
2314,444198,2501232,0.000010000
2321,445570,2508448,0.000010000
2336,448469,2523728,0.000010000
2368,455646,2560944,0.000010000
2398,462408,2595984,0.000010000
2405,463987,2604160,0.000010000
2427,468948,2629856,0.000010000
2456,475487,2663728,0.000010000
2490,483152,2703440,0.000010000
2519,489689,2737312,0.000010000
2563,499611,2788704,0.000010000
2594,506608,2824912,0.000010000
2622,512928,2857616,0.000010000
2653,519921,2893824,0.000010000
2691,528492,2938208,0.000010000
2712,533228,2962736,0.000010000
2774,546689,3032752,0.000010000
2781,548129,3040288,0.000010000
2789,549657,3048352,0.000010000
2794,550651,3053552,0.000010000
2794,550651,3053552,0.000010000
