size,bytes,usage,minrelaytxfee
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
0,0,0,0.000010000
126,24202,132208,0.000010000
212,40667,224016,0.000010000
230,44113,242160,0.000010000
351,67277,374368,0.000010000
461,88341,485248,0.000010000
566,108458,611568,0.000010000
644,123389,690192,0.000010000
726,139090,772848,0.000010000
778,149043,825264,0.000010000
851,163024,898848,0.000010000
942,180446,990576,0.000010000
1041,199406,1131328,0.000010000
1073,205536,1163584,0.000010000
1173,224681,1264384,0.000010000
1237,236943,1328896,0.000010000
1336,255897,1428688,0.000010000
1393,266802,1486144,0.000010000
1433,274460,1526464,0.000010000
1524,291893,1618192,0.000010000
1549,296684,1643392,0.000010000
1636,313347,1731088,0.000010000
1705,326556,1800640,0.000010000
1742,333647,1837936,0.000010000
1823,349162,1919584,0.000010000
1869,357979,1965952,0.000010000
1945,372531,2042560,0.000010000
1981,379417,2078848,0.000010000
2056,393781,2236368,0.000010000
2105,403163,2285760,0.000010000
2153,412356,2334144,0.000010000
2222,425566,2403696,0.000010000
2253,431504,2434944,0.000010000
2307,441843,2489376,0.000010000
2351,450263,2533728,0.000010000
2367,453326,2549856,0.000010000
2446,468446,2629488,0.000010000
2510,480697,2694000,0.000010000
2565,491226,2749440,0.000010000
2589,495824,2773632,0.000010000
2668,510947,2853264,0.000010000
2694,515926,2879472,0.000010000
2747,526075,2932896,0.000010000
2790,534303,2976240,0.000010000
2804,536984,2990352,0.000010000
2905,556319,3092160,0.000010000
2961,567032,3148608,0.000010000
2993,573158,3180864,0.000010000
3027,579671,3215136,0.000010000
3078,589713,3267824,0.000010000
3105,595804,3299360,0.000010000
3174,611360,3379952,0.000010000
3201,617449,3411488,0.000010000
3246,627597,3464048,0.000010000
3308,641577,3536464,0.000010000
3343,649466,3577344,0.000010000
3377,657096,3616896,0.000010000
3418,666337,3664784,0.000010000
3465,676926,3719680,0.000010000
3514,687975,3776912,0.000010000
3553,696767,3822464,0.000010000
3585,703983,3859840,0.000010000
3602,707811,3879696,0.000010000
3675,724270,3964960,0.000010000
3713,732835,4009344,0.000010000
3763,744111,4067744,0.000010000
3785,749040,4093280,0.000010000
3818,756484,4131824,0.000010000
3889,772502,4214752,0.000010000
3895,773854,4221760,0.000010000
3958,788060,4295344,0.000010000
3969,790541,4308192,0.000010000
4015,800911,4361920,0.000010000
4045,807672,4396960,0.000010000
4102,820525,4627376,0.000010000
4159,833382,4693952,0.000010000
4193,841053,4733664,0.000010000
4235,850525,4782720,0.000010000
4275,859544,4829440,0.000010000
4315,868564,4876160,0.000010000
4364,879577,4933232,0.000010000
4387,884765,4960096,0.000010000
4450,898978,5033680,0.000010000
4488,907544,5078064,0.000010000
4491,908219,5081568,0.000010000
4562,924226,5164496,0.000010000
4619,937074,5231072,0.000010000
4667,947889,5287136,0.000010000
4706,956680,5332688,0.000010000
4746,965698,5379408,0.000010000
4801,978099,5443648,0.000010000
